TenantName,BranchName,TrunkName,TrunkDID,OfficeStartTime(HH:MM)," OfficeEndTime(HH:MM)",OfficeDays,OfficeTimeIVRPromptFilename,IVRLevel,RingingSeconds,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Choice9,DefaultChoice,OffTimeChoice
bizrtc,ahmedabad,cloudpbx,1205097544,09:00,22:00,mon|tue|wed|thu|fri|sat,welcome&press-1&press-2,level1,20,level2,1003|1004|1002,1003|1004|1002,1003|1004|1002,1003|1004|1002,1003|1004|1002,1003|1004|1002,1003|1004|1002,1003|1004|1002,1002,1004
bizrtc,ahmedabad,cloudpbx,1205097544,09:00,22:00,mon|tue|wed|thu|fri|sat,welcome&press-1&press-2,level2,20,1003|1004|1002,1003|1004|1002,,,,,,,,1002,
