TenantName,BranchName,AccountCode,TrunkName,TrunkDID,BranchPrefix,MusicOnHold,10DigitCountryCode,ISDAllowed,ParkRetrieve,ParkExtension,NoOfParkingSlot,CallRecording,CallMonitoring,InterBranchcalls,TimeZone
bizrtc,ahmedabad,0659397058,cloudpbx,1205097544,9,default,91,Y,Y,1001800,3,Y,Y,Y,+0530
bizrtc,mumbai,0659397058,cloudpbx,1205097015,8,default,91,Y,Y,2001800,3,Y,Y,Y,+0530
